Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
12,GBFS,h4,N/A,554,0.259768009185791
12,GBFS,h5,N/A,554,0.25600147247314453
12,A/A*,h1,N/A,1060,0.5230860710144043
12,A/A*,h2,N/A,1060,0.5036163330078125
12,A/A*,h3,N/A,1060,0.5177531242370605
12,A/A*,h4,N/A,1060,0.514859676361084
12,A/A*,h5,N/A,1060,0.5335750579833984
13,UCS,N/A,N/A,528,0.2243974208831787
13,GBFS,h1,N/A,288,0.12566375732421875
13,GBFS,h2,N/A,288,0.12366724014282227
13,GBFS,h3,N/A,288,0.12765979766845703
13,GBFS,h4,N/A,288,0.12965178489685059
13,GBFS,h5,N/A,288,0.12865519523620605
13,A/A*,h1,N/A,528,0.2543203830718994
13,A/A*,h2,N/A,528,2.4155426025390625
13,A/A*,h3,N/A,528,0.2523195743560791
13,A/A*,h4,N/A,528,0.24933433532714844
13,A/A*,h5,N/A,528,0.267289400100708
14,UCS,N/A,1,2,0.0
14,GBFS,h1,1,2,0.0009942054748535156
14,GBFS,h2,1,2,0.0
14,GBFS,h3,1,2,0.0
14,GBFS,h4,1,2,0.0
14,GBFS,h5,1,2,0.0
14,A/A*,h1,1,2,0.0
14,A/A*,h2,1,2,0.0010066032409667969
14,A/A*,h3,1,2,0.0
14,A/A*,h4,1,2,0.0009872913360595703
14,A/A*,h5,1,2,0.0
15,UCS,N/A,N/A,20,0.006018877029418945
15,GBFS,h1,N/A,14,0.003954887390136719
15,GBFS,h2,N/A,14,0.00498652458190918
15,GBFS,h3,N/A,14,0.005017280578613281
15,GBFS,h4,N/A,14,0.004956722259521484
15,GBFS,h5,N/A,14,0.004019260406494141
15,A/A*,h1,N/A,20,0.005988597869873047
15,A/A*,h2,N/A,20,0.006978273391723633
15,A/A*,h3,N/A,20,0.0049860477447509766
15,A/A*,h4,N/A,20,0.006980180740356445
15,A/A*,h5,N/A,20,0.005986213684082031
16,UCS,N/A,N/A,56,0.01695394515991211
16,GBFS,h1,N/A,34,0.01096963882446289
16,GBFS,h2,N/A,34,0.009973526000976562
16,GBFS,h3,N/A,34,0.010969877243041992
16,GBFS,h4,N/A,34,0.009974479675292969
16,GBFS,h5,N/A,34,0.01196742057800293
16,A/A*,h1,N/A,56,0.018949508666992188
16,A/A*,h2,N/A,56,0.01795220375061035
16,A/A*,h3,N/A,56,0.01894831657409668
16,A/A*,h4,N/A,56,0.01795220375061035
16,A/A*,h5,N/A,56,0.017951488494873047
17,UCS,N/A,3,45,0.019977092742919922
17,GBFS,h1,3,4,0.0009975433349609375
17,GBFS,h2,3,4,0.0019953250885009766
17,GBFS,h3,3,4,0.0009961128234863281
17,GBFS,h4,3,19,0.006981372833251953
17,GBFS,h5,3,4,0.000997781753540039
17,A/A*,h1,3,12,0.004986286163330078
17,A/A*,h2,3,4,0.0009970664978027344
17,A/A*,h3,3,4,0.0019953250885009766
17,A/A*,h4,3,24,0.008975982666015625
17,A/A*,h5,3,4,0.0019655227661132812
18,UCS,N/A,4,58,0.022968292236328125
18,GBFS,h1,4,5,0.001962900161743164
18,GBFS,h2,4,5,0.002025604248046875
18,GBFS,h3,4,5,0.001994609832763672
18,GBFS,h4,6,23,0.008976459503173828
18,GBFS,h5,4,5,0.0019948482513427734
18,A/A*,h1,4,20,0.009942054748535156
18,A/A*,h2,4,6,0.0020258426666259766
18,A/A*,h3,4,5,0.001994609832763672
18,A/A*,h4,4,55,0.024933576583862305
18,A/A*,h5,4,6,0.001996278762817383
19,UCS,N/A,2,24,0.010936260223388672
19,GBFS,h1,2,3,0.000997304916381836
19,GBFS,h2,2,3,0.0
19,GBFS,h3,2,3,0.0
19,GBFS,h4,2,5,0.002994060516357422
19,GBFS,h5,2,3,0.001993894577026367
19,A/A*,h1,2,9,0.004986286163330078
19,A/A*,h2,2,9,0.0049896240234375
19,A/A*,h3,2,3,0.00199127197265625
19,A/A*,h4,2,9,0.003989458084106445
19,A/A*,h5,2,3,0.0019943714141845703
20,UCS,N/A,N/A,34,0.012965679168701172
20,GBFS,h1,N/A,23,0.008977174758911133
20,GBFS,h2,N/A,23,0.007963895797729492
20,GBFS,h3,N/A,23,0.007978439331054688
20,GBFS,h4,N/A,23,0.00797891616821289
20,GBFS,h5,N/A,23,0.009973287582397461
20,A/A*,h1,N/A,34,0.012997150421142578
20,A/A*,h2,N/A,34,0.00897669792175293
20,A/A*,h3,N/A,36,0.010970115661621094
20,A/A*,h4,N/A,34,0.010970115661621094
20,A/A*,h5,N/A,34,0.009974479675292969
21,UCS,N/A,2,69,0.03487348556518555
21,GBFS,h1,2,3,0.000997304916381836
21,GBFS,h2,2,3,0.0010318756103515625
21,GBFS,h3,2,3,0.0009963512420654297
21,GBFS,h4,2,9,0.004021644592285156
21,GBFS,h5,2,3,0.0009965896606445312
21,A/A*,h1,2,14,0.007949113845825195
21,A/A*,h2,2,14,0.008008003234863281
21,A/A*,h3,2,3,0.000997781753540039
21,A/A*,h4,2,14,0.006981849670410156
